lat_diff,lon,tag,error,lat,type,lon_diff
0.00474479999999744,-79.3843988,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6186552,node,0.10289880000000551
0.0051322999999996455,-79.3841864,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6182677,node,0.10268640000001028
0.0051187999999982026,-79.3840733,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6182812,node,0.10257330000000309
0.004659599999996544,-79.3841640,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6187404,node,0.10266400000000431
0.004827699999999879,-79.3838795,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6185723,node,0.10237950000001206
0.004754899999994677,-79.3836715,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6186451,node,0.1021715000000114
0.004216299999995954,-79.3838233,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6191837,node,0.102323300000009
0.0038306999999946356,-79.3840270,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6195693,node,0.10252700000000914
0.0035601999999954614,-79.3831530,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6198398,node,0.10165299999999888
0.0036902999999952613,-79.3827298,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6197097,node,0.10122980000001292
0.0036806999999967616,-79.3825113,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6197193,node,0.10101130000001035
0.004041199999996081,-79.3812900,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6193588,node,0.09979000000001292
0.004454899999998929,-79.3807043,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6189451,node,0.0992043000000109
0.0064043999999938706,-79.3791784,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6169956,node,0.0976784000000066
0.006714099999996392,-79.3794914,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6166859,node,0.09799140000001216
0.006834899999994093,-79.3796498,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6165651,node,0.09814980000000162
0.00683849999999353,-79.3797575,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6165615,node,0.09825750000000255
0.007052199999996844,-79.3795542,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6163478,node,0.09805420000000709
0.007211199999993312,-79.3794517,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6161888,node,0.09795170000001008
0.007289999999997576,-79.3794128,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6161100,node,0.09791280000000313
0.007292599999999538,-79.3792142,"[{'k': 'created_by', 'v': 'r_coastlines'}, {'k': 'source', 'v': 'PGS'}]",Coordinates out of range,43.6161074,node,0.09771420000001285
