<tag> k attributes
denomination
department
description
design
designation
destination
destination:backward
destination:forward
destination:lanes
destination:ref
destination_east
destination_north
destination_south
destination_west
developer
diesel
diet
diet:kosher
diet:vegan
diet:vegetarian
digital_projection
dine_in
diplomatic
direction
dismount
dispensing
display
disused
disused:name
disused:railway
divided
dog
door
drink:espresso
drinkable
drinking_water
drive_through
ele
electrified
electronic
email
embankment
emergency
enclosed
enforcement
entra
entrance
escalator
est_date
ethnicity
except
exit
exit_only
exit_to
facebook
facing
fair_trade
fax
fee
fee:amount
female
fence_type
fire_hydrant:position
fire_hydrant:type
fireplace
fitness_centre
fixme
flashing_light
flashing_lights
floor
floors
flowers
food
foot
footway
ford
former_name
founded_date
frequency
from
fuel
fuel:biodiesel
fuel:cng
fuel:diesel
fuel:octane_94
fuel:propane
full_serve
full_service
future_name
gauge
generator:method
generator:output:electricity
generator:output:hot_water
generator:source
generator:type
genus
genus:en
genus:fr
geobase:acquisitionTechnique
geobase:datasetName
geobase:uuid
go_zone
golf
grounds
gst_number
guidepost
halal
handrail
handrail:center
handrail:centre
handrail:left
handrail:right
healthcare
healthcare:speciality
healthcare:specialty
height
height:levels
height:source
heritage
heritage:operator
hgv
hgv:conditional
hgv:no
highway
hiking
historic
history
hoops
horse
hour_off
hour_on
house_numbers
housing_type
hov
hov:lanes
hst_number
iata
icao
id
image
imax
incline
indoor
indoor_seating
industrial:type
information
infrontof
interac
internet_access
internet_access:fee
internet_access:ssid
internet_buying
is_in
is_in:continent
is_in:country
is_in:country_code
is_in:state
isced:level
jewelry
junction
just-eat.ca
kerb
kiss_and_ride
kosher
lamp_type
landcover
landmark
landuse
lane
lanes
lanes:backward
lanes:forward
lanes:psv
lanes:turnleft:backward
lanes:turnright:backward
last_collection
laundry_service
layer
lcn
lead_tenant
leaf_cycle
leaf_type
led
leisure
length
level
levels
line
linen
link
lit
llbo
loc_name
loc_ref
location
location_name
lottery
lottery_tickets
lotto
male
man_made
manager
manufacturer
manufacturer:type
map_size
map_type
material
max_occupancy
maxheight
maxheight:imperial
maxspeed
maxspeed:advisory
maxspeed:backward
maxspeed:bicycle
maxspeed:hgv
maxspeed:school
maxweight
maxwidth
memorial
men
microbrewery
military
min_height
motor_vehicle
motorcar
motorcycle
motorroad
motorway
mountainbike
movable
mtb
mtb:scale
mtb:scale:imba
mtb:scale:uphill
music
name
name1
name:ar
name:be
name:bn
name:botanical
name:cs
name:de
name:el
name:en
name:es
name:et
name:etymology:wikidata
name:fa
name:fr
name:he
name:hi
name:hu
name:it
name:kn
name:ko
name:lv
name:mr
name:nl
name:oj
name:pl
name:pt
name:ru
name:sk
name:sl
name:ta
name:uk
name:vi
name:zh
name_1
naptan:Bearing
natural
network
newspapers
next_bus
next_streetcar
next_train
no_entry
no_left_turn
no_right_turn
no_right_turn_on_red
no_rtor
no_straight
no_turns
no_u_turn
noexit
noleftturn
noname
norightturn
note
note:height
note_2
ntoe
nudism
number
occupant
odbl
office
official_name
official_name:en
offpeaklanes
old_name
old_operator
old_ref
old_shop
onestop_screen
oneway
oneway:bicycle
open
open_until
opendata:type
opening_hours
opening_hours:delivery
opening_hours:drive_thru
opening_hours:seating_area
operating
operator
organic
outdoor_seating
overtaking
owner
park_ride
parking
parking:condition:1:left
parking:condition:1:time_interval
parking:condition:2:left
parking:condition:2:time_interval
parking:condition:area
parking:condition:both
parking:condition:both:2
parking:condition:both:2:time_interval
parking:condition:both:residents
parking:condition:both:time_interval
parking:condition:left
parking:condition:left:1
parking:condition:left:1:time_interval
parking:condition:left:2
parking:condition:left:2:maxstay
parking:condition:left:2:time_interval
parking:condition:left:3
parking:condition:left:3:time_interval
parking:condition:left:residents
parking:condition:left:time_interval
parking:condition:right
parking:condition:right:1
parking:condition:right:1:residents
parking:condition:right:1:time_interval
parking:condition:right:2
parking:condition:right:2:residents
parking:condition:right:2:time_interval
parking:condition:right:maxstay
parking:condition:right:residents
parking:condition:right:time_interval
parking:conditon:right:residents
parking:conditon:right:time_interval
parking:lane
parking:lane:both
parking:lane:left
parking:lane:right
passenger
patio
pay_and_display
pay_at_pump
payment
payment:american_express
payment:amex
payment:bitcoin
payment:cash
payment:coinkite
payment:coins
payment:credit_cards
payment:debit_cards
payment:gift_card
payment:health_insurance
payment:interac
payment:litecoin
payment:maestro
payment:mastercard
payment:mobile_phone
payment:notes
payment:telephone_cards
payment:vertcoin
payment:visa
payment:visa_debit
pedestrian_scramble
pedestrian_signal
permanent
permissive_left_turn
permissive_right_turn
permissive_turn
pet
pharmacy
phone
phone:2
phone:21
phone:tollfree
photocopying
pipeline
place
playground
police
pool
population
population:date
position
post_box
post_office
postal_code
postcode
power
presto
price
property_manager
proposed
protect_class
protected_left_turn
protection_title
psv
public_transport
public_transport:version
quadracycle
quantity
railing
railing:colour
railing:left
railing:left:surface
railing:material
railing:right
railway
railway:construction
railway:traffic_mode
ramp
ramp:bicycle
ramp:luggage
ramp:wheelchair
rank
recycling:batteries
recycling:cans
recycling:cigarettes
recycling:clothes
recycling:coffee_cups
recycling:glass
recycling:glass_bottles
recycling:low_energy_bulbs
recycling:magazines
recycling:mobile_phones
recycling:newspaper
recycling:paper
recycling:plastic
recycling:plastic_bottles
recycling:toner
recycling:waste
recycling_type
ref
ref:isil
ref:mississauga transit
religion
restaurant
restriction
return_machine
road_class
road_speed
roadway_text
rollerblade
rollerskates
roof:angle
roof:colour
roof:direction
roof:height
roof:levels
roof:material
roof:orientation
roof:shape
route
route_master
routes
sac_scale
salt
school
school_type
screen
seamark
seamark:buoy_lateral:category
seamark:buoy_lateral:colour
seamark:buoy_lateral:system
seamark:type
seasonal
seating
seating_area
seats
second_hand
segregated
self_checkout
self_serve
self_service
service
service:bicycle:cleaning
service:bicycle:diy
service:bicycle:pump
service:bicycle:rental
service:bicycle:repair
service:bicycle:retail
service:bicycle:second_hand
service_times
service_times:en
service_times:pl
sex
shelter
shelter_type
shelters
shoes
shop
short_name
sidewalk
sidewalk_orientation
sign
size
smoking
smoothness
social_facility
social_facility:for
source
source:cycleway
source:lanes
source:maxspeed
source:name
source:population
source:postal_code
spaces
spaces:car_sharing
species
species:en
species:fr
sport
sqkm
stars
start_date
state
state_capital
stateofrepair
statscan:rbuid
status
step_count
stopsign
store_name
store_ref
stories
street_lamp
subject
substance
subway
supermarket
supervised
support
surface
surveillance
surveillance:type
surveillance:zone
swing_gate:type
tactile_paving
take_out
takeaway
takeout
taxon
telephone
tesla:ref
theatres
tim_hortons
to
toilets
toilets:access
toilets:disposal
toilets:female
toilets:male
toilets:position
toilets:wheelchair
toll
tourism
tower:type
track_visibility
tracks
tracktype
trade
traffic_calming
traffic_sign
traffic_sign_1
traffic_signals:sound
traffic_signals:vibration
trail_visibility
tram
transfer
transit_signal
tree_type
ttc
ttc_tickets
tunnel
turn
turn:lanes
turn:lanes:backward
turn:lanes:forward
twitter
type
ultraavx
unisex
url
usage
used
vacant
vacuum
valet
valet_parking
validate:no_name
vat_number
vending
vip
visibility
voltage
washroom
washrooms
water
waterway
website
western_union
wetap:credit
wetap:photo
wetap:status
wetap:statusnote
wetland
wheelchair
wheelchair:description
width
wifi
wikidata
wikipedia
winter_maintenance
wlan
women
wood
works:type
worship_service
worship_time
yieldsign
